ID_Pedido,Fecha,ID_Cliente,Pais,Categoria,Producto,Precio_Unitario,Cantidad,Costo_Envio,Canal_Venta,Puntuacion_Satisfaccion,Ingresos_Brutos,Ingreso_Neto_Logistico,Coste_Envio_Relativo,Anio,Mes_Numero,Mes,Trimestre,Nivel_Satisfaccion,Indicador_Satisfaccion_Alta
ORD-1052,2025-09-22,CLI-427,México,Tecnología,Laptop Pro 15,766.41,1,45.0,App,4,766.41,721.41,0.058715,2025,9,2025-09,T3,Alta,1
ORD-1053,2025-12-12,CLI-142,España,Tecnología,Smartwatch Series Z,176.92,3,17.26,App,4,530.76,513.5,0.032519,2025,12,2025-12,T4,Alta,1
ORD-1054,2025-02-22,CLI-498,Argentina,Estilo de Vida,Botella Térmica Inteligente,221.76,2,7.69,Web,2,443.52,435.83,0.017339,2025,2,2025-02,T1,Baja,0
ORD-1055,2025-12-06,CLI-151,México,Tecnología,Auriculares Noise-Cancelling,549.08,2,34.43,Web,3,1098.16,1063.73,0.031352,2025,12,2025-12,T4,Media,0
ORD-1056,2025-04-02,CLI-231,Colombia,Estilo de Vida,Set de Teclado Mecánico,245.83,1,7.85,App,3,245.83,237.98,0.031933,2025,4,2025-04,T2,Media,0
ORD-1057,2025-09-21,CLI-397,España,Estilo de Vida,Lámpara LED Escritorio,58.89,2,10.73,Web,5,117.78,107.05,0.091102,2025,9,2025-09,T3,Alta,1
ORD-1058,2025-02-04,CLI-474,Colombia,Estilo de Vida,Silla Gaming X,157.98,1,10.25,Web,5,157.98,147.73,0.064882,2025,2,2025-02,T1,Alta,1
ORD-1059,2025-07-25,CLI-171,México,Estilo de Vida,Set de Teclado Mecánico,268.16,1,5.05,App,5,268.16,263.11,0.018832,2025,7,2025-07,T3,Alta,1
ORD-1060,2025-03-22,CLI-245,México,Estilo de Vida,Mochila Ergonómica,90.14,1,10.02,Tienda Física,5,90.14,80.12,0.11116,2025,3,2025-03,T1,Alta,1
ORD-1061,2025-02-19,CLI-249,Argentina,Estilo de Vida,Botella Térmica Inteligente,149.24,1,8.28,App,3,149.24,140.96,0.055481,2025,2,2025-02,T1,Media,0
ORD-1062,2025-12-26,CLI-419,España,Tecnología,Auriculares Noise-Cancelling,787.45,3,49.84,App,2,2362.35,2312.51,0.021098,2025,12,2025-12,T4,Baja,0
ORD-1063,2025-01-02,CLI-401,España,Tecnología,Monitor 4K Curved,859.63,1,52.41,App,4,859.63,807.22,0.060968,2025,1,2025-01,T1,Alta,1
ORD-1064,2025-02-23,CLI-172,Colombia,Tecnología,Laptop Pro 15,504.09,2,39.26,Web,4,1008.18,968.92,0.038941,2025,2,2025-02,T1,Alta,1
ORD-1065,2025-04-16,CLI-259,Colombia,Tecnología,Auriculares Noise-Cancelling,510.74,1,36.71,Tienda Física,2,510.74,474.03,0.071876,2025,4,2025-04,T2,Baja,0
ORD-1066,2025-09-17,CLI-201,España,Tecnología,Laptop Pro 15,864.14,1,50.52,Web,4,864.14,813.62,0.058463,2025,9,2025-09,T3,Alta,1
ORD-1067,2025-11-06,CLI-410,España,Tecnología,Laptop Pro 15,618.67,3,39.27,Tienda Física,5,1856.01,1816.74,0.021158,2025,11,2025-11,T4,Alta,1
ORD-1068,2025-07-10,CLI-378,México,Tecnología,Smartphone Alpha,1012.9,1,55.66,Tienda Física,4,1012.9,957.24,0.054951,2025,7,2025-07,T3,Alta,1
ORD-1069,2025-08-06,CLI-330,España,Tecnología,Monitor 4K Curved,924.04,1,58.89,App,3,924.04,865.15,0.063731,2025,8,2025-08,T3,Media,0
ORD-1070,2025-02-13,CLI-165,España,Estilo de Vida,Set de Teclado Mecánico,252.17,2,10.04,Web,3,504.34,494.3,0.019907,2025,2,2025-02,T1,Media,0
ORD-1071,2025-06-11,CLI-410,México,Tecnología,Laptop Pro 15,1133.81,1,67.23,Web,5,1133.81,1066.58,0.059296,2025,6,2025-06,T2,Alta,1
ORD-1072,2025-07-21,CLI-390,España,Tecnología,Auriculares Noise-Cancelling,753.32,1,48.33,App,4,753.32,704.99,0.064156,2025,7,2025-07,T3,Alta,1
ORD-1073,2025-09-27,CLI-165,España,Estilo de Vida,Botella Térmica Inteligente,263.72,2,10.25,Web,4,527.44,517.19,0.019433,2025,9,2025-09,T3,Alta,1
ORD-1074,2025-12-17,CLI-194,México,Tecnología,Auriculares Noise-Cancelling,513.4,2,40.43,App,4,1026.8,986.37,0.039375,2025,12,2025-12,T4,Alta,1
ORD-1075,2025-10-31,CLI-124,España,Tecnología,Monitor 4K Curved,483.41,2,38.7,App,4,966.82,928.12,0.040028,2025,10,2025-10,T4,Alta,1
ORD-1076,2025-09-28,CLI-415,México,Tecnología,Monitor 4K Curved,727.01,1,51.01,Web,4,727.01,676.0,0.070164,2025,9,2025-09,T3,Alta,1
ORD-1077,2025-08-03,CLI-444,México,Estilo de Vida,Set de Teclado Mecánico,29.86,1,8.42,Web,3,29.86,21.44,0.281983,2025,8,2025-08,T3,Media,0
ORD-1078,2025-09-09,CLI-255,España,Tecnología,Auriculares Noise-Cancelling,941.97,1,58.29,Web,2,941.97,883.68,0.061881,2025,9,2025-09,T3,Baja,0
ORD-1079,2025-07-09,CLI-479,España,Tecnología,Auriculares Noise-Cancelling,336.65,1,28.75,App,3,336.65,307.9,0.0854,2025,7,2025-07,T3,Media,0
ORD-1080,2025-10-23,CLI-106,México,Tecnología,Smartwatch Series Z,838.51,2,55.41,App,5,1677.02,1621.61,0.033041,2025,10,2025-10,T4,Alta,1
ORD-1081,2025-08-01,CLI-248,México,Tecnología,Monitor 4K Curved,556.43,1,42.46,Web,5,556.43,513.97,0.076308,2025,8,2025-08,T3,Alta,1
ORD-1082,2025-07-27,CLI-272,Colombia,Estilo de Vida,Botella Térmica Inteligente,77.17,1,8.57,Tienda Física,3,77.17,68.6,0.111054,2025,7,2025-07,T3,Media,0
ORD-1083,2025-08-25,CLI-295,España,Tecnología,Smartphone Alpha,265.22,1,23.74,Tienda Física,4,265.22,241.48,0.089511,2025,8,2025-08,T3,Alta,1
ORD-1084,2025-12-04,CLI-204,Argentina,Estilo de Vida,Silla Gaming X,204.22,2,10.3,Web,5,408.44,398.14,0.025218,2025,12,2025-12,T4,Alta,1
ORD-1085,2025-02-22,CLI-331,Chile,Tecnología,Smartphone Alpha,1139.97,1,70.09,Web,3,1139.97,1069.88,0.061484,2025,2,2025-02,T1,Media,0
ORD-1086,2025-10-07,CLI-272,Argentina,Tecnología,Auriculares Noise-Cancelling,670.22,1,42.37,Web,4,670.22,627.85,0.063218,2025,10,2025-10,T4,Alta,1
ORD-1087,2025-08-05,CLI-251,Colombia,Tecnología,Smartwatch Series Z,687.83,1,46.19,Web,2,687.83,641.64,0.067153,2025,8,2025-08,T3,Baja,0
ORD-1088,2025-09-09,CLI-127,Argentina,Tecnología,Smartwatch Series Z,924.38,1,54.75,Web,5,924.38,869.63,0.059229,2025,9,2025-09,T3,Alta,1
ORD-1089,2025-07-07,CLI-319,España,Tecnología,Laptop Pro 15,253.32,2,24.27,Web,2,506.64,482.37,0.047904,2025,7,2025-07,T3,Baja,0
ORD-1090,2025-02-10,CLI-316,España,Estilo de Vida,Mochila Ergonómica,293.4,1,9.01,Web,2,293.4,284.39,0.030709,2025,2,2025-02,T1,Baja,0
ORD-1091,2025-06-06,CLI-499,México,Tecnología,Laptop Pro 15,488.33,1,30.67,Web,5,488.33,457.66,0.062806,2025,6,2025-06,T2,Alta,1
ORD-1092,2025-01-15,CLI-433,España,Estilo de Vida,Silla Gaming X,68.08,1,3.39,App,4,68.08,64.69,0.049794,2025,1,2025-01,T1,Alta,1
ORD-1093,2025-10-28,CLI-221,México,Tecnología,Smartphone Alpha,321.87,3,23.83,App,1,965.61,941.78,0.024679,2025,10,2025-10,T4,Baja,0
ORD-1094,2025-03-06,CLI-337,Chile,Estilo de Vida,Mochila Ergonómica,96.07,1,7.9,Web,5,96.07,88.17,0.082232,2025,3,2025-03,T1,Alta,1
ORD-1095,2025-12-11,CLI-128,España,Estilo de Vida,Silla Gaming X,39.81,3,5.88,Tienda Física,3,119.43,113.55,0.049234,2025,12,2025-12,T4,Media,0
ORD-1096,2025-11-23,CLI-452,México,Estilo de Vida,Silla Gaming X,249.89,3,4.92,Web,5,749.67,744.75,0.006563,2025,11,2025-11,T4,Alta,1
ORD-1097,2025-01-09,CLI-285,México,Tecnología,Auriculares Noise-Cancelling,309.15,1,21.4,Tienda Física,3,309.15,287.75,0.069222,2025,1,2025-01,T1,Media,0
ORD-1098,2025-12-10,CLI-109,Argentina,Tecnología,Smartphone Alpha,928.8,2,60.25,Web,3,1857.6,1797.35,0.032434,2025,12,2025-12,T4,Media,0
ORD-1099,2025-05-09,CLI-153,España,Estilo de Vida,Lámpara LED Escritorio,76.71,2,6.2,App,5,153.42,147.22,0.040412,2025,5,2025-05,T2,Alta,1
ORD-1100,2025-05-16,CLI-200,España,Estilo de Vida,Mochila Ergonómica,288.47,1,6.31,Web,5,288.47,282.16,0.021874,2025,5,2025-05,T2,Alta,1
ORD-1101,2025-03-04,CLI-458,Colombia,Tecnología,Monitor 4K Curved,825.53,1,54.08,Web,1,825.53,771.45,0.065509,2025,3,2025-03,T1,Baja,0
ORD-1102,2025-05-19,CLI-328,México,Tecnología,Smartwatch Series Z,340.39,1,25.9,Tienda Física,5,340.39,314.49,0.076089,2025,5,2025-05,T2,Alta,1
ORD-1103,2025-03-22,CLI-404,España,Tecnología,Smartwatch Series Z,738.69,1,47.97,Tienda Física,5,738.69,690.72,0.064939,2025,3,2025-03,T1,Alta,1
ORD-1104,2025-06-12,CLI-272,Argentina,Estilo de Vida,Lámpara LED Escritorio,41.1,2,6.01,App,4,82.2,76.19,0.073114,2025,6,2025-06,T2,Alta,1
ORD-1105,2025-10-16,CLI-217,Colombia,Tecnología,Smartphone Alpha,605.72,1,36.17,App,5,605.72,569.55,0.059714,2025,10,2025-10,T4,Alta,1
ORD-1106,2025-09-18,CLI-458,Chile,Estilo de Vida,Mochila Ergonómica,200.33,1,7.47,App,5,200.33,192.86,0.037288,2025,9,2025-09,T3,Alta,1
ORD-1107,2025-08-19,CLI-297,España,Tecnología,Monitor 4K Curved,343.7,1,25.81,Web,5,343.7,317.89,0.075095,2025,8,2025-08,T3,Alta,1
ORD-1108,2025-02-10,CLI-148,España,Tecnología,Monitor 4K Curved,971.71,2,54.15,Web,4,1943.42,1889.27,0.027863,2025,2,2025-02,T1,Alta,1
ORD-1109,2025-01-28,CLI-199,Chile,Tecnología,Monitor 4K Curved,891.32,1,55.88,Tienda Física,5,891.32,835.44,0.062694,2025,1,2025-01,T1,Alta,1
ORD-1110,2025-05-15,CLI-205,España,Estilo de Vida,Silla Gaming X,61.12,3,6.59,Web,3,183.36,176.77,0.03594,2025,5,2025-05,T2,Media,0
ORD-1111,2025-07-20,CLI-316,España,Tecnología,Smartwatch Series Z,439.51,2,29.73,Tienda Física,4,879.02,849.29,0.033822,2025,7,2025-07,T3,Alta,1
ORD-1112,2025-11-24,CLI-106,España,Estilo de Vida,Silla Gaming X,68.0,3,10.68,Tienda Física,4,204.0,193.32,0.052353,2025,11,2025-11,T4,Alta,1
ORD-1113,2025-09-25,CLI-475,España,Tecnología,Laptop Pro 15,919.07,1,56.44,Tienda Física,5,919.07,862.63,0.06141,2025,9,2025-09,T3,Alta,1
ORD-1114,2025-02-02,CLI-470,España,Tecnología,Smartphone Alpha,669.21,1,48.26,App,4,669.21,620.95,0.072115,2025,2,2025-02,T1,Alta,1
ORD-1115,2025-02-17,CLI-388,España,Estilo de Vida,Silla Gaming X,121.11,1,4.03,Web,5,121.11,117.08,0.033276,2025,2,2025-02,T1,Alta,1
ORD-1116,2025-03-03,CLI-297,México,Tecnología,Monitor 4K Curved,388.78,1,28.48,App,5,388.78,360.3,0.073255,2025,3,2025-03,T1,Alta,1
ORD-1117,2025-08-04,CLI-224,México,Estilo de Vida,Botella Térmica Inteligente,70.59,2,11.51,App,4,141.18,129.67,0.081527,2025,8,2025-08,T3,Alta,1
ORD-1118,2025-10-20,CLI-131,España,Estilo de Vida,Silla Gaming X,42.13,2,7.61,Web,5,84.26,76.65,0.090316,2025,10,2025-10,T4,Alta,1
ORD-1119,2025-04-09,CLI-215,España,Tecnología,Smartwatch Series Z,722.09,2,48.69,Web,5,1444.18,1395.49,0.033715,2025,4,2025-04,T2,Alta,1
ORD-1120,2025-06-21,CLI-486,México,Estilo de Vida,Lámpara LED Escritorio,285.33,2,8.04,App,2,570.66,562.62,0.014089,2025,6,2025-06,T2,Baja,0
ORD-1121,2025-12-26,CLI-406,España,Estilo de Vida,Mochila Ergonómica,132.45,2,10.19,Tienda Física,5,264.9,254.71,0.038467,2025,12,2025-12,T4,Alta,1
ORD-1122,2025-08-02,CLI-146,Colombia,Tecnología,Smartwatch Series Z,699.5,2,42.85,App,5,1399.0,1356.15,0.030629,2025,8,2025-08,T3,Alta,1
ORD-1123,2025-02-04,CLI-213,Argentina,Tecnología,Laptop Pro 15,315.85,2,27.75,Web,5,631.7,603.95,0.043929,2025,2,2025-02,T1,Alta,1
ORD-1124,2025-08-15,CLI-465,Argentina,Tecnología,Smartphone Alpha,778.02,1,44.23,App,4,778.02,733.79,0.056849,2025,8,2025-08,T3,Alta,1
ORD-1125,2025-04-11,CLI-368,Chile,Tecnología,Smartphone Alpha,993.78,3,59.74,Web,5,2981.34,2921.6,0.020038,2025,4,2025-04,T2,Alta,1
ORD-1126,2025-05-11,CLI-380,México,Tecnología,Smartwatch Series Z,1076.02,1,63.08,Web,4,1076.02,1012.94,0.058623,2025,5,2025-05,T2,Alta,1
ORD-1127,2025-09-14,CLI-310,Argentina,Estilo de Vida,Botella Térmica Inteligente,46.84,1,9.58,Tienda Física,4,46.84,37.26,0.204526,2025,9,2025-09,T3,Alta,1
ORD-1128,2025-01-05,CLI-385,México,Estilo de Vida,Mochila Ergonómica,154.57,1,10.39,Web,5,154.57,144.18,0.067219,2025,1,2025-01,T1,Alta,1
ORD-1129,2025-08-06,CLI-437,Chile,Tecnología,Monitor 4K Curved,268.59,2,19.3,Web,5,537.18,517.88,0.035928,2025,8,2025-08,T3,Alta,1
ORD-1130,2025-09-12,CLI-388,Argentina,Estilo de Vida,Mochila Ergonómica,144.76,2,8.2,Tienda Física,3,289.52,281.32,0.028323,2025,9,2025-09,T3,Media,0
ORD-1131,2025-12-25,CLI-346,Colombia,Tecnología,Laptop Pro 15,491.36,2,36.43,Web,5,982.72,946.29,0.037071,2025,12,2025-12,T4,Alta,1
ORD-1132,2025-10-10,CLI-401,España,Tecnología,Auriculares Noise-Cancelling,878.86,1,54.07,Web,4,878.86,824.79,0.061523,2025,10,2025-10,T4,Alta,1
ORD-1133,2025-07-26,CLI-350,España,Estilo de Vida,Silla Gaming X,264.58,2,9.89,App,5,529.16,519.27,0.01869,2025,7,2025-07,T3,Alta,1
ORD-1134,2025-01-15,CLI-129,México,Tecnología,Auriculares Noise-Cancelling,266.54,1,22.8,Tienda Física,4,266.54,243.74,0.085541,2025,1,2025-01,T1,Alta,1
ORD-1135,2025-12-12,CLI-209,España,Estilo de Vida,Lámpara LED Escritorio,141.2,4,3.38,Tienda Física,5,564.8,561.42,0.005984,2025,12,2025-12,T4,Alta,1
ORD-1136,2025-02-11,CLI-220,México,Estilo de Vida,Botella Térmica Inteligente,217.31,3,10.56,App,5,651.93,641.37,0.016198,2025,2,2025-02,T1,Alta,1
ORD-1137,2025-06-28,CLI-475,España,Tecnología,Smartwatch Series Z,268.21,1,25.45,Web,1,268.21,242.76,0.094888,2025,6,2025-06,T2,Baja,0
ORD-1138,2025-03-04,CLI-101,España,Tecnología,Auriculares Noise-Cancelling,227.95,2,18.66,App,5,455.9,437.24,0.04093,2025,3,2025-03,T1,Alta,1
ORD-1139,2025-12-18,CLI-163,España,Estilo de Vida,Mochila Ergonómica,296.98,3,8.64,App,4,890.94,882.3,0.009698,2025,12,2025-12,T4,Alta,1
ORD-1140,2025-08-19,CLI-492,España,Estilo de Vida,Set de Teclado Mecánico,168.4,2,3.57,App,2,336.8,333.23,0.0106,2025,8,2025-08,T3,Baja,0
ORD-1141,2025-08-29,CLI-273,España,Estilo de Vida,Mochila Ergonómica,42.79,1,11.6,App,5,42.79,31.19,0.271091,2025,8,2025-08,T3,Alta,1
ORD-1142,2025-02-21,CLI-278,México,Estilo de Vida,Mochila Ergonómica,118.72,1,4.48,Tienda Física,5,118.72,114.24,0.037736,2025,2,2025-02,T1,Alta,1
ORD-1143,2025-04-06,CLI-460,Chile,Tecnología,Smartwatch Series Z,259.44,1,21.82,App,5,259.44,237.62,0.084104,2025,4,2025-04,T2,Alta,1
ORD-1144,2025-08-10,CLI-192,España,Tecnología,Smartphone Alpha,153.07,1,13.05,Tienda Física,4,153.07,140.02,0.085255,2025,8,2025-08,T3,Alta,1
ORD-1145,2025-08-19,CLI-401,México,Tecnología,Auriculares Noise-Cancelling,355.9,1,28.9,Web,1,355.9,327.0,0.081203,2025,8,2025-08,T3,Baja,0
ORD-1146,2025-08-25,CLI-409,España,Tecnología,Auriculares Noise-Cancelling,1036.12,1,59.66,Web,4,1036.12,976.46,0.05758,2025,8,2025-08,T3,Alta,1
ORD-1147,2025-05-23,CLI-138,Argentina,Estilo de Vida,Mochila Ergonómica,249.59,2,5.56,App,4,499.18,493.62,0.011138,2025,5,2025-05,T2,Alta,1
ORD-1148,2025-06-20,CLI-171,España,Tecnología,Auriculares Noise-Cancelling,197.1,3,19.36,Web,5,591.3,571.94,0.032741,2025,6,2025-06,T2,Alta,1
ORD-1149,2025-01-29,CLI-252,Chile,Estilo de Vida,Set de Teclado Mecánico,96.0,1,9.07,App,5,96.0,86.93,0.094479,2025,1,2025-01,T1,Alta,1
ORD-1150,2025-02-05,CLI-181,Colombia,Estilo de Vida,Set de Teclado Mecánico,253.14,2,3.37,Web,5,506.28,502.91,0.006656,2025,2,2025-02,T1,Alta,1
ORD-1151,2025-01-13,CLI-384,Colombia,Tecnología,Smartwatch Series Z,727.06,1,50.36,Web,4,727.06,676.7,0.069265,2025,1,2025-01,T1,Alta,1
