ID_Pedido,Fecha,ID_Cliente,Pais,Categoria,Producto,Precio_Unitario,Cantidad,Costo_Envio,Canal_Venta,Puntuacion_Satisfaccion
ORD-1021,2025-07-11,CLI-380,Colombia,Tecnología,Smartphone Alpha,614.41,1,38.84,App,3
ORD-1022,2025-10-04,CLI-178,Argentina,Estilo de Vida,Botella Térmica Inteligente,262.7,3,7.26,Web,5
ORD-1023,2025-06-10,CLI-145,Chile,Tecnología,Laptop Pro 15,949.08,1,58.72,Web,5
ORD-1024,2025-11-10,CLI-216,España,Tecnología,Smartphone Alpha,787.67,3,46.86,Web,4
ORD-1025,2025-01-22,CLI-265,España,Tecnología,Auriculares Noise-Cancelling,1183.57,1,65.67,App,5
ORD-1026,2025-09-10,CLI-175,Colombia,Tecnología,Monitor 4K Curved,944.91,3,61.77,App,2
ORD-1027,2025-08-24,CLI-176,México,Estilo de Vida,Silla Gaming X,218.18,1,8.04,Web,2
ORD-1028,2025-12-11,CLI-416,España,Tecnología,Laptop Pro 15,1176.34,2,65.83,Web,2
ORD-1029,2025-02-18,CLI-417,Argentina,Estilo de Vida,Mochila Ergonómica,282.46,1,3.47,App,5
ORD-1030,2025-02-28,CLI-226,Argentina,Estilo de Vida,Lámpara LED Escritorio,158.21,1,8.95,App,4
ORD-1031,2025-06-19,CLI-246,México,Tecnología,Laptop Pro 15,610.54,1,42.78,App,5
ORD-1032,2025-07-07,CLI-310,España,Estilo de Vida,Silla Gaming X,229.68,1,10.85,Web,1
ORD-1033,2025-09-28,CLI-490,México,Tecnología,Smartphone Alpha,667.94,1,39.21,Web,3
ORD-1034,2025-07-09,CLI-251,España,Tecnología,Monitor 4K Curved,913.53,1,58.1,Web,5
ORD-1035,2025-06-24,CLI-361,Argentina,Tecnología,Auriculares Noise-Cancelling,757.61,2,47.27,Web,5
ORD-1036,2025-02-20,CLI-454,Colombia,Estilo de Vida,Lámpara LED Escritorio,187.9,1,11.21,App,5
ORD-1037,2025-12-30,CLI-140,México,Estilo de Vida,Silla Gaming X,274.98,3,4.62,App,2
ORD-1038,2025-02-24,CLI-444,España,Tecnología,Smartwatch Series Z,575.27,1,39.69,App,5
ORD-1039,2025-09-01,CLI-386,España,Estilo de Vida,Botella Térmica Inteligente,260.95,1,3.08,App,3
ORD-1040,2025-11-16,CLI-270,México,Tecnología,Auriculares Noise-Cancelling,614.13,3,39.02,Tienda Física,3
ORD-1041,2025-05-11,CLI-219,Colombia,Estilo de Vida,Mochila Ergonómica,70.94,1,4.51,App,4
ORD-1042,2025-11-03,CLI-119,España,Estilo de Vida,Silla Gaming X,262.66,3,8.02,Web,4
ORD-1043,2025-05-15,CLI-375,México,Tecnología,Smartphone Alpha,278.22,3,23.43,Web,1
ORD-1044,2025-01-21,CLI-277,México,Estilo de Vida,Lámpara LED Escritorio,26.36,1,11.57,Tienda Física,4
ORD-1045,2025-11-25,CLI-228,Colombia,Tecnología,Smartwatch Series Z,282.03,3,20.43,Web,5
ORD-1046,2025-06-16,CLI-213,Argentina,Estilo de Vida,Set de Teclado Mecánico,147.03,1,10.81,App,5
ORD-1047,2025-10-01,CLI-246,Colombia,Tecnología,Laptop Pro 15,1062.35,1,63.82,Tienda Física,5
ORD-1048,2025-03-30,CLI-260,Colombia,Estilo de Vida,Set de Teclado Mecánico,208.42,1,8.19,Web,4
ORD-1049,2025-11-12,CLI-118,Argentina,Tecnología,Monitor 4K Curved,971.5,4,59.25,App,5
ORD-1050,2025-01-14,CLI-312,España,Estilo de Vida,Botella Térmica Inteligente,266.42,2,5.85,Web,5
ORD-1051,2025-08-30,CLI-390,México,Tecnología,Smartwatch Series Z,790.32,1,50.15,App,4
ORD-1052,2025-09-22,CLI-427,México,Tecnología,Laptop Pro 15,766.41,1,45.0,App,4
ORD-1053,2025-12-12,CLI-142,España,Tecnología,Smartwatch Series Z,176.92,3,17.26,App,4
ORD-1054,2025-02-22,CLI-498,Argentina,Estilo de Vida,Botella Térmica Inteligente,221.76,2,7.69,Web,2
ORD-1055,2025-12-06,CLI-151,México,Tecnología,Auriculares Noise-Cancelling,549.08,2,34.43,Web,3
ORD-1056,2025-04-02,CLI-231,Colombia,Estilo de Vida,Set de Teclado Mecánico,245.83,1,7.85,App,3
ORD-1057,2025-09-21,CLI-397,España,Estilo de Vida,Lámpara LED Escritorio,58.89,2,10.73,Web,5
ORD-1058,2025-02-04,CLI-474,Colombia,Estilo de Vida,Silla Gaming X,157.98,1,10.25,Web,5
ORD-1059,2025-07-25,CLI-171,México,Estilo de Vida,Set de Teclado Mecánico,268.16,1,5.05,App,5
ORD-1060,2025-03-22,CLI-245,México,Estilo de Vida,Mochila Ergonómica,90.14,1,10.02,Tienda Física,5
ORD-1061,2025-02-19,CLI-249,Argentina,Estilo de Vida,Botella Térmica Inteligente,149.24,1,8.28,App,3
ORD-1062,2025-12-26,CLI-419,España,Tecnología,Auriculares Noise-Cancelling,787.45,3,49.84,App,2
ORD-1063,2025-01-02,CLI-401,España,Tecnología,Monitor 4K Curved,859.63,1,52.41,App,4
ORD-1064,2025-02-23,CLI-172,Colombia,Tecnología,Laptop Pro 15,504.09,2,39.26,Web,4
ORD-1065,2025-04-16,CLI-259,Colombia,Tecnología,Auriculares Noise-Cancelling,510.74,1,36.71,Tienda Física,2
ORD-1066,2025-09-17,CLI-201,España,Tecnología,Laptop Pro 15,864.14,1,50.52,Web,4
ORD-1067,2025-11-06,CLI-410,España,Tecnología,Laptop Pro 15,618.67,3,39.27,Tienda Física,5
ORD-1068,2025-07-10,CLI-378,México,Tecnología,Smartphone Alpha,1012.9,1,55.66,Tienda Física,4
ORD-1069,2025-08-06,CLI-330,España,Tecnología,Monitor 4K Curved,924.04,1,58.89,App,3
ORD-1070,2025-02-13,CLI-165,España,Estilo de Vida,Set de Teclado Mecánico,252.17,2,10.04,Web,3
ORD-1071,2025-06-11,CLI-410,México,Tecnología,Laptop Pro 15,1133.81,1,67.23,Web,5
ORD-1072,2025-07-21,CLI-390,España,Tecnología,Auriculares Noise-Cancelling,753.32,1,48.33,App,4
ORD-1073,2025-09-27,CLI-165,España,Estilo de Vida,Botella Térmica Inteligente,263.72,2,10.25,Web,4
ORD-1074,2025-12-17,CLI-194,México,Tecnología,Auriculares Noise-Cancelling,513.4,2,40.43,App,4
ORD-1075,2025-10-31,CLI-124,España,Tecnología,Monitor 4K Curved,483.41,2,38.7,App,4
ORD-1076,2025-09-28,CLI-415,México,Tecnología,Monitor 4K Curved,727.01,1,51.01,Web,4
ORD-1077,2025-08-03,CLI-444,México,Estilo de Vida,Set de Teclado Mecánico,29.86,1,8.42,Web,3
ORD-1078,2025-09-09,CLI-255,España,Tecnología,Auriculares Noise-Cancelling,941.97,1,58.29,Web,2
ORD-1079,2025-07-09,CLI-479,España,Tecnología,Auriculares Noise-Cancelling,336.65,1,28.75,App,3
ORD-1080,2025-10-23,CLI-106,México,Tecnología,Smartwatch Series Z,838.51,2,55.41,App,5
ORD-1081,2025-08-01,CLI-248,México,Tecnología,Monitor 4K Curved,556.43,1,42.46,Web,5
ORD-1082,2025-07-27,CLI-272,Colombia,Estilo de Vida,Botella Térmica Inteligente,77.17,1,8.57,Tienda Física,3
ORD-1083,2025-08-25,CLI-295,España,Tecnología,Smartphone Alpha,265.22,1,23.74,Tienda Física,4
ORD-1084,2025-12-04,CLI-204,Argentina,Estilo de Vida,Silla Gaming X,204.22,2,10.3,Web,5
ORD-1085,2025-02-22,CLI-331,Chile,Tecnología,Smartphone Alpha,1139.97,1,70.09,Web,3
ORD-1086,2025-10-07,CLI-272,Argentina,Tecnología,Auriculares Noise-Cancelling,670.22,1,42.37,Web,4
ORD-1087,2025-08-05,CLI-251,Colombia,Tecnología,Smartwatch Series Z,687.83,1,46.19,Web,2
ORD-1088,2025-09-09,CLI-127,Argentina,Tecnología,Smartwatch Series Z,924.38,1,54.75,Web,5
ORD-1089,2025-07-07,CLI-319,España,Tecnología,Laptop Pro 15,253.32,2,24.27,Web,2
ORD-1090,2025-02-10,CLI-316,España,Estilo de Vida,Mochila Ergonómica,293.4,1,9.01,Web,2
ORD-1091,2025-06-06,CLI-499,México,Tecnología,Laptop Pro 15,488.33,1,30.67,Web,5
ORD-1092,2025-01-15,CLI-433,España,Estilo de Vida,Silla Gaming X,68.08,1,3.39,App,4
ORD-1093,2025-10-28,CLI-221,México,Tecnología,Smartphone Alpha,321.87,3,23.83,App,1
ORD-1094,2025-03-06,CLI-337,Chile,Estilo de Vida,Mochila Ergonómica,96.07,1,7.9,Web,5
ORD-1095,2025-12-11,CLI-128,España,Estilo de Vida,Silla Gaming X,39.81,3,5.88,Tienda Física,3
ORD-1096,2025-11-23,CLI-452,México,Estilo de Vida,Silla Gaming X,249.89,3,4.92,Web,5
ORD-1097,2025-01-09,CLI-285,México,Tecnología,Auriculares Noise-Cancelling,309.15,1,21.4,Tienda Física,3
ORD-1098,2025-12-10,CLI-109,Argentina,Tecnología,Smartphone Alpha,928.8,2,60.25,Web,3
ORD-1099,2025-05-09,CLI-153,España,Estilo de Vida,Lámpara LED Escritorio,76.71,2,6.2,App,5
ORD-1100,2025-05-16,CLI-200,España,Estilo de Vida,Mochila Ergonómica,288.47,1,6.31,Web,5
ORD-1101,2025-03-04,CLI-458,Colombia,Tecnología,Monitor 4K Curved,825.53,1,54.08,Web,1
ORD-1102,2025-05-19,CLI-328,México,Tecnología,Smartwatch Series Z,340.39,1,25.9,Tienda Física,5
ORD-1103,2025-03-22,CLI-404,España,Tecnología,Smartwatch Series Z,738.69,1,47.97,Tienda Física,5
ORD-1104,2025-06-12,CLI-272,Argentina,Estilo de Vida,Lámpara LED Escritorio,41.1,2,6.01,App,4
ORD-1105,2025-10-16,CLI-217,Colombia,Tecnología,Smartphone Alpha,605.72,1,36.17,App,5
ORD-1106,2025-09-18,CLI-458,Chile,Estilo de Vida,Mochila Ergonómica,200.33,1,7.47,App,5
ORD-1107,2025-08-19,CLI-297,España,Tecnología,Monitor 4K Curved,343.7,1,25.81,Web,5
ORD-1108,2025-02-10,CLI-148,España,Tecnología,Monitor 4K Curved,971.71,2,54.15,Web,4
ORD-1109,2025-01-28,CLI-199,Chile,Tecnología,Monitor 4K Curved,891.32,1,55.88,Tienda Física,5
ORD-1110,2025-05-15,CLI-205,España,Estilo de Vida,Silla Gaming X,61.12,3,6.59,Web,3
ORD-1111,2025-07-20,CLI-316,España,Tecnología,Smartwatch Series Z,439.51,2,29.73,Tienda Física,4
ORD-1112,2025-11-24,CLI-106,España,Estilo de Vida,Silla Gaming X,68.0,3,10.68,Tienda Física,4
ORD-1113,2025-09-25,CLI-475,España,Tecnología,Laptop Pro 15,919.07,1,56.44,Tienda Física,5
ORD-1114,2025-02-02,CLI-470,España,Tecnología,Smartphone Alpha,669.21,1,48.26,App,4
ORD-1115,2025-02-17,CLI-388,España,Estilo de Vida,Silla Gaming X,121.11,1,4.03,Web,5
ORD-1116,2025-03-03,CLI-297,México,Tecnología,Monitor 4K Curved,388.78,1,28.48,App,5
ORD-1117,2025-08-04,CLI-224,México,Estilo de Vida,Botella Térmica Inteligente,70.59,2,11.51,App,4
ORD-1118,2025-10-20,CLI-131,España,Estilo de Vida,Silla Gaming X,42.13,2,7.61,Web,5
ORD-1119,2025-04-09,CLI-215,España,Tecnología,Smartwatch Series Z,722.09,2,48.69,Web,5
ORD-1120,2025-06-21,CLI-486,México,Estilo de Vida,Lámpara LED Escritorio,285.33,2,8.04,App,2
ORD-1121,2025-12-26,CLI-406,España,Estilo de Vida,Mochila Ergonómica,132.45,2,10.19,Tienda Física,5
ORD-1122,2025-08-02,CLI-146,Colombia,Tecnología,Smartwatch Series Z,699.5,2,42.85,App,5
ORD-1123,2025-02-04,CLI-213,Argentina,Tecnología,Laptop Pro 15,315.85,2,27.75,Web,5
ORD-1124,2025-08-15,CLI-465,Argentina,Tecnología,Smartphone Alpha,778.02,1,44.23,App,4
ORD-1125,2025-04-11,CLI-368,Chile,Tecnología,Smartphone Alpha,993.78,3,59.74,Web,5
ORD-1126,2025-05-11,CLI-380,México,Tecnología,Smartwatch Series Z,1076.02,1,63.08,Web,4
ORD-1127,2025-09-14,CLI-310,Argentina,Estilo de Vida,Botella Térmica Inteligente,46.84,1,9.58,Tienda Física,4
ORD-1128,2025-01-05,CLI-385,México,Estilo de Vida,Mochila Ergonómica,154.57,1,10.39,Web,5
ORD-1129,2025-08-06,CLI-437,Chile,Tecnología,Monitor 4K Curved,268.59,2,19.3,Web,5
ORD-1130,2025-09-12,CLI-388,Argentina,Estilo de Vida,Mochila Ergonómica,144.76,2,8.2,Tienda Física,3
ORD-1131,2025-12-25,CLI-346,Colombia,Tecnología,Laptop Pro 15,491.36,2,36.43,Web,5
ORD-1132,2025-10-10,CLI-401,España,Tecnología,Auriculares Noise-Cancelling,878.86,1,54.07,Web,4
ORD-1133,2025-07-26,CLI-350,España,Estilo de Vida,Silla Gaming X,264.58,2,9.89,App,5
ORD-1134,2025-01-15,CLI-129,México,Tecnología,Auriculares Noise-Cancelling,266.54,1,22.8,Tienda Física,4
ORD-1135,2025-12-12,CLI-209,España,Estilo de Vida,Lámpara LED Escritorio,141.2,4,3.38,Tienda Física,5
ORD-1136,2025-02-11,CLI-220,México,Estilo de Vida,Botella Térmica Inteligente,217.31,3,10.56,App,5
ORD-1137,2025-06-28,CLI-475,España,Tecnología,Smartwatch Series Z,268.21,1,25.45,Web,1
ORD-1138,2025-03-04,CLI-101,España,Tecnología,Auriculares Noise-Cancelling,227.95,2,18.66,App,5
ORD-1139,2025-12-18,CLI-163,España,Estilo de Vida,Mochila Ergonómica,296.98,3,8.64,App,4
ORD-1140,2025-08-19,CLI-492,España,Estilo de Vida,Set de Teclado Mecánico,168.4,2,3.57,App,2
ORD-1141,2025-08-29,CLI-273,España,Estilo de Vida,Mochila Ergonómica,42.79,1,11.6,App,5
ORD-1142,2025-02-21,CLI-278,México,Estilo de Vida,Mochila Ergonómica,118.72,1,4.48,Tienda Física,5
ORD-1143,2025-04-06,CLI-460,Chile,Tecnología,Smartwatch Series Z,259.44,1,21.82,App,5
ORD-1144,2025-08-10,CLI-192,España,Tecnología,Smartphone Alpha,153.07,1,13.05,Tienda Física,4
ORD-1145,2025-08-19,CLI-401,México,Tecnología,Auriculares Noise-Cancelling,355.9,1,28.9,Web,1
ORD-1146,2025-08-25,CLI-409,España,Tecnología,Auriculares Noise-Cancelling,1036.12,1,59.66,Web,4
ORD-1147,2025-05-23,CLI-138,Argentina,Estilo de Vida,Mochila Ergonómica,249.59,2,5.56,App,4
ORD-1148,2025-06-20,CLI-171,España,Tecnología,Auriculares Noise-Cancelling,197.1,3,19.36,Web,5
ORD-1149,2025-01-29,CLI-252,Chile,Estilo de Vida,Set de Teclado Mecánico,96.0,1,9.07,App,5
ORD-1150,2025-02-05,CLI-181,Colombia,Estilo de Vida,Set de Teclado Mecánico,253.14,2,3.37,Web,5
ORD-1151,2025-01-13,CLI-384,Colombia,Tecnología,Smartwatch Series Z,727.06,1,50.36,Web,4
ORD-1152,2025-06-09,CLI-358,España,Estilo de Vida,Botella Térmica Inteligente,269.21,1,8.39,Web,3
ORD-1153,2025-11-23,CLI-334,España,Estilo de Vida,Lámpara LED Escritorio,228.77,4,7.77,Web,4
ORD-1154,2025-07-06,CLI-393,México,Tecnología,Monitor 4K Curved,569.34,2,42.57,Web,5
ORD-1155,2025-08-31,CLI-453,Argentina,Estilo de Vida,Lámpara LED Escritorio,143.23,1,9.06,Web,4
ORD-1156,2025-03-27,CLI-412,México,Tecnología,Auriculares Noise-Cancelling,1050.44,1,66.69,Web,4
ORD-1157,2025-10-11,CLI-292,España,Tecnología,Smartwatch Series Z,872.83,1,52.39,Web,5
ORD-1158,2025-03-07,CLI-404,España,Estilo de Vida,Lámpara LED Escritorio,32.0,1,8.81,Web,4
ORD-1159,2025-06-19,CLI-424,España,Tecnología,Monitor 4K Curved,707.64,1,48.8,App,3
ORD-1160,2025-02-14,CLI-150,Chile,Tecnología,Auriculares Noise-Cancelling,708.51,1,41.78,Web,4
ORD-1161,2025-03-03,CLI-134,España,Tecnología,Auriculares Noise-Cancelling,304.41,1,25.1,Tienda Física,4
ORD-1162,2025-05-14,CLI-323,España,Estilo de Vida,Silla Gaming X,298.59,1,7.91,App,1
ORD-1163,2025-10-11,CLI-486,España,Tecnología,Smartwatch Series Z,1179.11,1,68.73,Web,5
ORD-1164,2025-01-28,CLI-484,Chile,Tecnología,Monitor 4K Curved,354.36,1,23.29,Web,4
ORD-1165,2025-04-18,CLI-203,Chile,Tecnología,Monitor 4K Curved,616.25,1,42.07,Web,5
ORD-1166,2025-02-13,CLI-163,Colombia,Tecnología,Laptop Pro 15,634.52,1,44.03,Tienda Física,5
ORD-1167,2025-12-06,CLI-283,México,Tecnología,Laptop Pro 15,908.25,3,55.75,App,2
ORD-1168,2025-10-13,CLI-282,México,Tecnología,Laptop Pro 15,1141.24,1,63.55,Tienda Física,5
ORD-1169,2025-11-27,CLI-318,España,Tecnología,Auriculares Noise-Cancelling,363.38,2,30.79,Tienda Física,5
ORD-1170,2025-05-08,CLI-436,Chile,Tecnología,Auriculares Noise-Cancelling,782.22,2,50.03,Web,2
ORD-1171,2025-12-14,CLI-307,Chile,Estilo de Vida,Mochila Ergonómica,270.6,3,3.56,Web,3
ORD-1172,2025-08-19,CLI-268,Colombia,Estilo de Vida,Set de Teclado Mecánico,33.4,1,10.85,App,5
ORD-1173,2025-07-09,CLI-166,España,Tecnología,Smartphone Alpha,983.06,1,64.06,Tienda Física,1
ORD-1174,2025-08-13,CLI-356,Argentina,Estilo de Vida,Mochila Ergonómica,199.05,1,3.62,Tienda Física,5
ORD-1175,2025-10-10,CLI-174,Colombia,Estilo de Vida,Botella Térmica Inteligente,53.71,2,6.59,Web,1
ORD-1176,2025-05-01,CLI-165,España,Tecnología,Auriculares Noise-Cancelling,813.69,1,51.45,Web,5
ORD-1177,2025-04-26,CLI-389,México,Tecnología,Laptop Pro 15,984.24,1,61.28,Web,3
ORD-1178,2025-08-21,CLI-152,España,Tecnología,Auriculares Noise-Cancelling,173.13,2,19.49,App,1
ORD-1179,2025-09-16,CLI-151,México,Tecnología,Smartphone Alpha,279.07,1,27.84,Web,5
ORD-1180,2025-12-25,CLI-158,México,Estilo de Vida,Botella Térmica Inteligente,91.53,4,9.43,Web,2
ORD-1181,2025-07-17,CLI-148,Colombia,Estilo de Vida,Botella Térmica Inteligente,135.4,2,4.43,Tienda Física,3
ORD-1182,2025-05-17,CLI-489,España,Tecnología,Smartphone Alpha,686.69,1,39.8,App,5
ORD-1183,2025-11-14,CLI-199,Argentina,Tecnología,Smartphone Alpha,236.85,3,26.15,Web,4
ORD-1184,2025-06-14,CLI-317,España,Estilo de Vida,Lámpara LED Escritorio,144.3,1,11.19,Tienda Física,5
ORD-1185,2025-08-13,CLI-123,Colombia,Tecnología,Smartwatch Series Z,814.35,1,52.76,Web,5
ORD-1186,2025-11-03,CLI-200,Colombia,Estilo de Vida,Mochila Ergonómica,210.93,3,11.5,App,1
ORD-1187,2025-08-22,CLI-112,Argentina,Tecnología,Smartwatch Series Z,1059.11,1,62.72,App,1
ORD-1188,2025-06-21,CLI-199,Colombia,Tecnología,Monitor 4K Curved,586.59,1,41.53,Tienda Física,5
ORD-1189,2025-06-01,CLI-248,Colombia,Estilo de Vida,Set de Teclado Mecánico,34.88,3,6.55,Web,5
ORD-1190,2025-11-11,CLI-402,Argentina,Estilo de Vida,Mochila Ergonómica,269.81,2,5.59,Tienda Física,4
ORD-1191,2025-06-09,CLI-210,México,Estilo de Vida,Set de Teclado Mecánico,129.25,1,6.04,Web,4
ORD-1192,2025-04-06,CLI-439,México,Tecnología,Smartwatch Series Z,774.89,1,43.84,Tienda Física,5
ORD-1193,2025-08-21,CLI-261,Argentina,Tecnología,Smartphone Alpha,697.36,1,49.63,Web,5
ORD-1194,2025-06-29,CLI-472,México,Tecnología,Monitor 4K Curved,508.89,1,37.83,App,4
ORD-1195,2025-04-23,CLI-313,Argentina,Estilo de Vida,Silla Gaming X,257.94,2,3.21,App,4
ORD-1196,2025-11-14,CLI-189,México,Tecnología,Auriculares Noise-Cancelling,895.64,2,59.16,App,2
ORD-1197,2025-02-21,CLI-189,Argentina,Estilo de Vida,Set de Teclado Mecánico,170.95,1,8.86,App,3
ORD-1198,2025-09-25,CLI-167,Chile,Tecnología,Laptop Pro 15,1090.88,1,68.02,Web,4
ORD-1199,2025-10-22,CLI-258,Colombia,Tecnología,Smartwatch Series Z,824.96,3,54.35,Web,4
ORD-1200,2025-04-23,CLI-325,España,Estilo de Vida,Botella Térmica Inteligente,214.78,1,11.38,Web,4
ORD-1201,2025-04-11,CLI-401,Argentina,Tecnología,Monitor 4K Curved,1146.52,1,71.95,Tienda Física,4
ORD-1202,2025-04-23,CLI-432,Argentina,Tecnología,Auriculares Noise-Cancelling,324.04,1,25.66,Web,5
ORD-1203,2025-03-22,CLI-431,México,Tecnología,Smartwatch Series Z,842.07,1,48.19,Web,5
ORD-1204,2025-07-06,CLI-384,España,Tecnología,Smartphone Alpha,1115.36,1,62.53,Web,5
ORD-1205,2025-04-23,CLI-451,España,Estilo de Vida,Botella Térmica Inteligente,217.04,3,6.56,Tienda Física,5
ORD-1206,2025-01-02,CLI-173,Argentina,Tecnología,Smartphone Alpha,631.15,3,44.37,App,5
ORD-1207,2025-05-10,CLI-190,España,Estilo de Vida,Silla Gaming X,279.7,1,5.06,Web,5
ORD-1208,2025-08-08,CLI-254,España,Tecnología,Auriculares Noise-Cancelling,180.63,1,18.84,Web,4
ORD-1209,2025-02-23,CLI-212,Argentina,Estilo de Vida,Mochila Ergonómica,37.35,1,9.85,Web,5
ORD-1210,2025-12-09,CLI-356,México,Tecnología,Laptop Pro 15,524.98,3,39.12,App,5
ORD-1211,2025-08-12,CLI-377,España,Tecnología,Monitor 4K Curved,1173.09,2,63.93,App,5
ORD-1212,2025-08-13,CLI-470,México,Estilo de Vida,Set de Teclado Mecánico,86.84,2,6.88,App,4
ORD-1213,2025-05-06,CLI-183,Argentina,Tecnología,Smartwatch Series Z,601.61,2,44.12,Web,5
ORD-1214,2025-05-10,CLI-423,España,Tecnología,Smartwatch Series Z,364.68,1,25.79,App,5
ORD-1215,2025-02-22,CLI-123,España,Tecnología,Auriculares Noise-Cancelling,682.27,2,43.21,Tienda Física,5
ORD-1216,2025-06-21,CLI-353,México,Tecnología,Smartwatch Series Z,309.17,1,29.22,Web,1
ORD-1217,2025-08-06,CLI-184,Chile,Tecnología,Smartphone Alpha,150.01,1,16.67,Web,3
ORD-1218,2025-06-09,CLI-268,Colombia,Tecnología,Auriculares Noise-Cancelling,1076.87,1,59.36,Web,5
ORD-1219,2025-07-17,CLI-478,España,Estilo de Vida,Botella Térmica Inteligente,108.31,2,5.93,Tienda Física,4
ORD-1220,2025-09-04,CLI-386,Colombia,Estilo de Vida,Silla Gaming X,295.84,1,9.79,App,2
ORD-1221,2025-11-20,CLI-210,España,Estilo de Vida,Lámpara LED Escritorio,98.98,3,7.66,Web,5
ORD-1222,2025-07-22,CLI-293,Chile,Estilo de Vida,Set de Teclado Mecánico,179.03,2,10.03,Web,4
ORD-1223,2025-07-03,CLI-268,España,Estilo de Vida,Lámpara LED Escritorio,245.97,1,4.1,Tienda Física,1
ORD-1224,2025-05-03,CLI-208,Argentina,Tecnología,Monitor 4K Curved,374.06,1,30.35,Web,5
ORD-1225,2025-09-12,CLI-142,Chile,Estilo de Vida,Mochila Ergonómica,110.8,1,7.34,Web,1
ORD-1226,2025-10-21,CLI-267,México,Estilo de Vida,Botella Térmica Inteligente,194.38,1,10.59,App,5
ORD-1227,2025-10-07,CLI-179,Colombia,Tecnología,Smartphone Alpha,474.28,1,33.54,Tienda Física,5
ORD-1228,2025-11-21,CLI-106,Colombia,Tecnología,Laptop Pro 15,999.23,3,61.73,Tienda Física,5
ORD-1229,2025-04-08,CLI-111,España,Tecnología,Auriculares Noise-Cancelling,1043.21,1,66.98,Web,3
ORD-1230,2025-07-17,CLI-475,Argentina,Tecnología,Auriculares Noise-Cancelling,351.0,3,26.67,Web,5
ORD-1231,2025-08-28,CLI-240,España,Estilo de Vida,Botella Térmica Inteligente,144.01,1,9.17,Web,5
ORD-1232,2025-05-24,CLI-491,Chile,Estilo de Vida,Lámpara LED Escritorio,240.95,3,8.41,Web,5
ORD-1233,2025-04-07,CLI-318,México,Tecnología,Monitor 4K Curved,1175.96,1,64.83,Tienda Física,3
ORD-1234,2025-07-20,CLI-253,México,Tecnología,Auriculares Noise-Cancelling,785.76,2,49.46,App,5
ORD-1235,2025-05-04,CLI-466,México,Estilo de Vida,Lámpara LED Escritorio,45.79,1,11.56,Web,5
ORD-1236,2025-07-06,CLI-332,Colombia,Tecnología,Monitor 4K Curved,165.87,1,22.94,App,5
ORD-1237,2025-11-22,CLI-147,Colombia,Tecnología,Auriculares Noise-Cancelling,777.55,5,52.54,Web,3
ORD-1238,2025-12-15,CLI-182,Chile,Tecnología,Smartwatch Series Z,886.2,2,56.11,Web,4
ORD-1239,2025-09-16,CLI-382,Colombia,Estilo de Vida,Silla Gaming X,224.57,2,8.56,Web,4
